Date,Close,Open,High,Low
11/09/2021,4685.25,4707.25,4708.53,4670.87
11/08/2021,4701.7,4701.48,4714.92,4694.39
11/05/2021,4697.53,4699.26,4718.5,4681.32
11/04/2021,4680.06,4662.93,4683,4662.59
11/03/2021,4660.57,4630.65,4663.46,4621.19
11/02/2021,4630.65,4613.34,4635.15,4613.34
11/01/2021,4613.67,4610.62,4620.34,4595.06
10/29/2021,4605.38,4572.87,4608.08,4567.59
10/28/2021,4596.42,4562.84,4597.55,4562.84
10/27/2021,4551.68,4580.22,4584.57,4551.66
10/26/2021,4574.79,4578.69,4598.53,4569.17
10/25/2021,4566.48,4553.69,4572.62,4537.36
10/22/2021,4544.9,4546.12,4559.67,4524
10/21/2021,4549.78,4532.24,4551.44,4526.89
10/20/2021,4536.19,4524.42,4540.87,4524.4
10/19/2021,4519.63,4497.34,4520.4,4496.41
10/18/2021,4486.46,4463.72,4488.75,4447.47
10/15/2021,4471.37,4447.69,4475.82,4447.69
10/14/2021,4438.26,4386.75,4439.73,4386.75
10/13/2021,4363.8,4358.01,4372.87,4329.92
10/12/2021,4350.65,4368.31,4374.89,4342.09
10/11/2021,4361.19,4385.44,4415.88,4360.59
10/08/2021,4391.34,4406.51,4412.02,4386.22
10/07/2021,4399.76,4383.73,4429.97,4383.73
10/06/2021,4363.55,4319.57,4365.57,4290.49
10/05/2021,4345.72,4309.87,4369.23,4309.87
10/04/2021,4300.46,4348.84,4355.51,4278.94
10/01/2021,4357.04,4317.16,4375.19,4288.52
09/30/2021,4307.54,4370.67,4382.55,4306.24
09/29/2021,4359.46,4362.41,4385.57,4355.08
09/28/2021,4352.63,4419.54,4419.54,4346.33
09/27/2021,4443.11,4442.12,4457.3,4436.19
09/24/2021,4455.48,4438.04,4463.12,4430.27
09/23/2021,4448.98,4406.75,4465.4,4406.75
09/22/2021,4395.64,4367.43,4416.75,4367.43
09/21/2021,4354.19,4374.45,4394.87,4347.96
09/20/2021,4357.73,4402.95,4402.95,4305.91
09/17/2021,4432.99,4469.74,4471.52,4427.76
09/16/2021,4473.75,4477.09,4485.87,4443.8
09/15/2021,4480.7,4447.49,4486.87,4438.37
09/14/2021,4443.05,4479.33,4485.68,4435.46
09/13/2021,4468.73,4474.81,4492.99,4445.7
09/10/2021,4458.58,4506.92,4520.47,4457.66
09/09/2021,4493.28,4513.02,4529.9,4492.07
09/08/2021,4514.07,4518.09,4521.79,4493.95
09/07/2021,4520.03,4535.38,4535.38,4513
09/03/2021,4535.43,4532.42,4541.45,4521.3
09/02/2021,4536.95,4534.48,4545.85,4524.66
09/01/2021,4524.09,4528.8,4537.11,4522.02
08/31/2021,4522.68,4529.75,4531.39,4515.8
08/30/2021,4528.79,4513.76,4537.36,4513.76
08/27/2021,4509.37,4474.1,4513.33,4474.1
08/26/2021,4470,4493.75,4495.9,4468.99
08/25/2021,4496.19,4490.45,4501.71,4485.66
08/24/2021,4486.23,4484.4,4492.81,4482.28
08/23/2021,4479.53,4450.29,4489.88,4450.29
08/20/2021,4441.67,4410.56,4444.35,4406.8
08/19/2021,4405.8,4382.44,4418.61,4367.73
08/18/2021,4400.27,4440.94,4454.32,4397.59
08/17/2021,4448.08,4462.12,4462.12,4417.83
08/16/2021,4479.71,4461.65,4480.26,4437.66
08/13/2021,4468,4464.84,4468.37,4460.82
08/12/2021,4460.83,4446.08,4461.77,4435.96
08/11/2021,4447.7,4442.18,4449.44,4436.42
08/10/2021,4436.75,4435.79,4445.21,4430.03
08/09/2021,4432.35,4437.77,4439.39,4424.74
08/06/2021,4436.52,4429.07,4440.82,4429.07
08/05/2021,4429.1,4408.86,4429.76,4408.86
08/04/2021,4402.66,4415.95,4416.17,4400.23
08/03/2021,4423.15,4392.74,4423.79,4373
08/02/2021,4387.16,4406.86,4422.18,4384.81
07/30/2021,4395.26,4395.12,4412.25,4389.65
07/29/2021,4419.15,4403.59,4429.97,4403.59
07/28/2021,4400.64,4402.95,4415.47,4387.01
07/27/2021,4401.46,4416.38,4416.38,4372.51
07/26/2021,4422.3,4409.58,4422.73,4405.45
07/23/2021,4411.79,4381.2,4415.18,4381.2
07/22/2021,4367.48,4361.27,4369.87,4350.06
07/21/2021,4358.69,4331.13,4359.7,4331.13
07/20/2021,4323.06,4265.11,4336.84,4262.05
07/19/2021,4258.49,4296.4,4296.4,4233.13
07/16/2021,4327.16,4367.43,4375.09,4322.53
07/15/2021,4360.03,4369.02,4369.02,4340.7
07/14/2021,4374.3,4380.11,4393.68,4362.36
07/13/2021,4369.21,4381.07,4392.37,4366.92
07/12/2021,4384.63,4372.41,4386.68,4364.03
07/09/2021,4369.55,4329.38,4371.6,4329.38
07/08/2021,4320.82,4321.07,4330.88,4289.37
07/07/2021,4358.13,4351.01,4361.88,4329.79
07/06/2021,4343.54,4356.46,4356.46,4314.37
07/02/2021,4352.34,4326.6,4355.43,4326.6
07/01/2021,4319.94,4300.73,4320.66,4300.73
06/30/2021,4297.5,4290.65,4302.43,4287.96
06/29/2021,4291.8,4293.21,4300.52,4287.04
06/28/2021,4290.61,4284.9,4292.14,4274.67
06/25/2021,4280.7,4274.45,4286.12,4271.16
06/24/2021,4266.49,4256.97,4271.28,4256.97
06/23/2021,4241.84,4249.27,4256.6,4241.43
06/22/2021,4246.44,4224.61,4255.84,4217.27
06/21/2021,4224.79,4173.4,4226.24,4173.4
06/18/2021,4166.45,4204.78,4204.78,4164.4
06/17/2021,4221.86,4220.37,4232.29,4196.05
06/16/2021,4223.7,4248.87,4251.89,4202.45
06/15/2021,4246.59,4255.28,4257.16,4238.35
06/14/2021,4255.15,4248.31,4255.59,4234.07
06/11/2021,4247.44,4242.9,4248.38,4232.25
06/10/2021,4239.18,4228.56,4249.74,4220.34
06/09/2021,4219.55,4232.99,4237.09,4218.74
06/08/2021,4227.26,4233.81,4236.74,4208.41
06/07/2021,4226.52,4229.34,4232.34,4215.66
06/04/2021,4229.89,4206.05,4233.45,4206.05
06/03/2021,4192.85,4191.43,4204.39,4167.93
06/02/2021,4208.12,4206.82,4217.37,4198.27
06/01/2021,4202.04,4216.52,4234.12,4197.59
05/28/2021,4204.11,4210.77,4218.36,4203.57
05/27/2021,4200.88,4201.94,4213.38,4197.78
05/26/2021,4195.99,4191.59,4202.61,4184.11
05/25/2021,4188.13,4205.94,4213.42,4182.52
05/24/2021,4197.05,4170.16,4209.52,4170.16
05/21/2021,4155.86,4168.61,4188.72,4151.72
05/20/2021,4159.12,4121.97,4172.8,4121.97
05/19/2021,4115.68,4098.45,4116.93,4061.41
05/18/2021,4127.83,4165.94,4169.15,4125.99
05/17/2021,4163.29,4169.92,4171.92,4142.69
05/14/2021,4173.85,4129.58,4183.13,4129.58
05/13/2021,4112.5,4074.99,4131.58,4074.99
05/12/2021,4063.04,4130.55,4134.73,4056.88
05/11/2021,4152.1,4150.34,4162.04,4111.53
05/10/2021,4188.43,4228.29,4236.39,4188.13
05/07/2021,4232.6,4210.34,4238.04,4201.64
05/06/2021,4201.62,4169.14,4202.7,4147.33
05/05/2021,4167.59,4177.06,4187.72,4160.94
05/04/2021,4164.66,4179.04,4179.04,4128.59
05/03/2021,4192.66,4191.98,4209.39,4188.03
04/30/2021,4181.17,4198.1,4198.1,4174.85
04/29/2021,4211.47,4206.14,4218.78,4176.81
04/28/2021,4183.18,4185.14,4201.53,4181.78
04/27/2021,4186.72,4188.25,4193.35,4176.22
04/26/2021,4187.62,4185.03,4194.19,4182.36
04/23/2021,4180.17,4138.78,4194.17,4138.78
04/22/2021,4134.98,4170.46,4179.57,4123.69
04/21/2021,4173.42,4128.42,4175.02,4126.35
04/20/2021,4134.94,4159.18,4159.18,4118.38
04/19/2021,4163.26,4179.8,4180.81,4150.47
04/16/2021,4185.47,4174.14,4191.31,4170.75
04/15/2021,4170.42,4139.76,4173.49,4139.76
04/14/2021,4124.66,4143.25,4151.69,4120.87
04/13/2021,4141.59,4130.1,4148,4124.43
04/12/2021,4127.99,4124.71,4131.76,4114.82
04/09/2021,4128.8,4096.11,4129.48,4095.51
04/08/2021,4097.17,4089.95,4098.19,4082.54
04/07/2021,4079.95,4074.29,4083.13,4068.31
04/06/2021,4073.94,4075.57,4086.23,4068.14
04/05/2021,4077.91,4034.44,4083.42,4034.44
04/01/2021,4019.87,3992.78,4020.63,3992.78
03/31/2021,3972.89,3967.25,3994.41,3966.98
03/30/2021,3958.55,3963.34,3968.01,3944.35
03/29/2021,3971.09,3969.31,3981.83,3943.25
03/26/2021,3974.54,3917.12,3978.19,3917.12
03/25/2021,3909.52,3879.34,3919.54,3853.5
03/24/2021,3889.14,3919.93,3942.08,3889.07
03/23/2021,3910.52,3937.6,3949.13,3901.57
03/22/2021,3940.59,3916.48,3955.31,3914.16
03/19/2021,3913.1,3913.14,3930.12,3886.75
03/18/2021,3915.46,3953.5,3969.62,3910.86
03/17/2021,3974.12,3949.57,3983.87,3935.74
03/16/2021,3962.71,3973.59,3981.04,3953.44
03/15/2021,3968.94,3942.96,3970.08,3923.54
03/12/2021,3943.34,3924.52,3944.99,3915.21
03/11/2021,3939.34,3915.54,3960.27,3915.54
03/10/2021,3898.81,3891.99,3917.35,3885.73
03/09/2021,3875.44,3851.93,3903.76,3851.93
03/08/2021,3821.35,3844.39,3881.06,3819.25
03/05/2021,3841.94,3793.58,3851.69,3730.19
03/04/2021,3768.47,3818.53,3843.67,3723.34
03/03/2021,3819.72,3863.99,3874.47,3818.86
03/02/2021,3870.29,3903.64,3906.41,3868.57
03/01/2021,3901.82,3842.51,3914.5,3842.51
02/26/2021,3811.15,3839.66,3861.08,3789.54
02/25/2021,3829.34,3915.8,3925.02,3814.04
02/24/2021,3925.43,3873.71,3928.65,3859.6
02/23/2021,3881.37,3857.07,3895.98,3805.59
02/22/2021,3876.5,3885.55,3902.92,3874.71
02/19/2021,3906.71,3921.16,3930.41,3903.07
02/18/2021,3913.97,3915.86,3921.98,3885.03
02/17/2021,3931.33,3918.5,3933.61,3900.43
02/16/2021,3932.59,3939.61,3950.43,3923.85
02/12/2021,3934.83,3911.65,3937.23,3905.78
02/11/2021,3916.38,3916.4,3925.99,3890.39
02/10/2021,3909.88,3920.78,3931.5,3884.94
02/09/2021,3911.23,3910.49,3918.35,3902.64
02/08/2021,3915.59,3892.59,3915.77,3892.59
02/05/2021,3886.83,3878.3,3894.56,3874.93
02/04/2021,3871.74,3836.66,3872.42,3836.66
02/03/2021,3830.17,3840.27,3847.51,3816.68
02/02/2021,3826.31,3791.84,3843.09,3791.84
02/01/2021,3773.86,3731.17,3784.32,3725.62
01/29/2021,3714.24,3778.05,3778.05,3694.12
01/28/2021,3787.38,3755.75,3830.5,3755.75
01/27/2021,3750.77,3836.83,3836.83,3732.48
01/26/2021,3849.62,3862.96,3870.9,3847.78
01/25/2021,3855.36,3851.68,3859.23,3797.16
01/22/2021,3841.47,3844.24,3852.31,3830.41
01/21/2021,3853.07,3857.46,3861.45,3845.05
01/20/2021,3851.85,3816.22,3859.75,3816.22
01/19/2021,3798.91,3781.88,3804.53,3780.37
01/15/2021,3768.25,3788.73,3788.73,3749.62
01/14/2021,3795.54,3814.98,3823.6,3792.86
01/13/2021,3809.84,3802.23,3820.96,3791.5
01/12/2021,3801.19,3801.62,3810.78,3776.51
01/11/2021,3799.61,3803.14,3817.86,3789.02
01/08/2021,3824.68,3815.05,3826.69,3783.6
01/07/2021,3803.79,3764.71,3811.55,3764.71
01/06/2021,3748.14,3712.2,3783.04,3705.34
01/05/2021,3726.86,3698.02,3737.83,3695.07
01/04/2021,3700.65,3764.61,3769.99,3662.71
01/01/2021,3756.07,0,0,0
